uuid,name,description
47639e6b-908f-487d-b9f4-331291709011,Blue Box Expansion,"A combination of the Fourth, Fifth, and Sixth Expansions.
Released November 21, 2016.  Icon: A blue triangle.
"

uuid,edition,version,description,author,releaseDate,column
5af68d79-d4da-434d-a68c-0c22437fee6b,,v1.0,,,0,0
cc6795b7-da58-4a6a-90ce-9c7d1a558e58,,v1.1,,,0,1
defba22f-460d-423c-9cff-55a28a5b9e9d,,v1.2,,,0,2
d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,,v1.3,,,0,3
63789969-a5ae-49dc-a690-422651063710,,v1.4,,,0,4
e324b883-c7b8-4ba0-bd8b-4600b6a9cf7d,Prompt,"Well what do you have to say for yourself, Casey? This is the third time you've been sent to the principal's office for ______.",0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
3b062d6d-b805-45f3-a5c0-34d4dc08574a,Prompt,Wes Anderson's new film tells the story of a precocious child coming to terms with ______.,0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
6fbae51b-5346-4315-89d0-6c2773576621,Prompt,What killed my boner?,0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
5cf27d6e-a070-4aa9-8b67-2f29e27fa51d,Prompt,What's fun until it gets weird?,0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
f22063ef-a262-409d-9fe4-32f2a37d9e28,Prompt,What's making things awkward in the sauna?,0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
96a25f9c-27d7-4bf8-ace1-af440efb212e,Prompt,"When I was a kid, we used to play Cowboys and ______.",0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,
0258b8f9-141b-41f1-bb4c-197536ac44b8,Prompt,WHOOO! God damn I love ______!,0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
2f9fa09d-571f-4757-b3bc-9d511df9d241,Prompt,Why am I broke?,0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
ae1d649d-39f2-4089-abf6-f27765de9ae8,Prompt,Why won't you make love to me anymore? Is it ______?,0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
5afc1a3c-6944-416e-afe6-d4fe6e6d649e,Prompt,"Y'all ready to get this thing started? I'm Nick Cannon, and this is America's Got ______.",0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
bf2e28fc-32b3-4ed0-97eb-c43d1467b63c,Prompt,Yo' mama's so fat she ______!,0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
d6f7a908-4e10-4744-b51b-213c25d5b6ff,Prompt,You are not alone. Millions of Americans struggle with ______ every day.,0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
614b6c98-f746-4a8f-8d7d-b420232b28ea,Prompt,"You guys, I saw this crazy movie last night. It opens on ______, and then there's some stuff about ______, and then it ends with ______.",2,3,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
3fba1683-7386-44a7-b47b-7932d5529381,Prompt,"You know, once you get past ______, ______ ain't so bad.",0,2,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
bee1c8b6-c331-466d-88c8-726edc4ddaa7,Prompt,You Won't Believe These 15 Hilarious ______ Bloopers!,0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
1a1a1023-fae1-4a31-86fe-ef55fbe7f097,Prompt,"You've seen the bearded lady! You've seen the ring of fire! Now, ladies and gentlemen, feast your eyes upon ______!",0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
3974517a-94b5-40ff-828a-e9cd362c3721,Response,10 Incredible Facts About the Anus.,0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
0b294e11-a5de-482f-a8a9-4d8088396261,Response,40 acres and a mule.,0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
2154fc5c-6a59-470b-a9b8-ef7d6d7cc13c,Response,A bass drop so huge it tears the starry vault asunder to reveal the face of God.,0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
19fceb7e-2554-4eff-96dd-a36174475a6c,Response,A bunch of idiots playing a card game instead of interacting like normal humans.,0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
d5547ee1-e61c-4cfd-90ff-a0c67513fa52,Response,A buttload of candy.,0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
6cf21576-23f0-4b88-9e8a-d25827c0f7c3,Response,A chimpanzee in sunglasses fucking your wife.,0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,,,
8b040c9c-28d4-461c-b31d-cdc81b7a84f2,Response,A commitment to hiring diverse talent.,0,0,,,,,63789969-a5ae-49dc-a690-422651063710
f6f37449-84ba-4f32-b692-2f297f346007,Response,A constant need for validation.,0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
86e77fe6-fbc0-47fe-973c-688769cc1f9f,Response,A crazy little thing called love.,0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
5b8a857e-042b-48b9-98bc-d1a12e05bf93,Response,A dance move that's just sex.,0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
08f825e9-80c7-46d0-8da0-568605435583,Response,A disappointing salad.,0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
7b5d1eb3-c38a-47ec-bb6a-92d23029dec4,Response,A face full of horse cum.,0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
0ca09d9f-46e1-48a8-afa7-bc98df1e3dc8,Response,A fart.,0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
f286a175-c954-47ec-afb5-a68b3a822975,Response,A for-real lizard that spits blood from its eyes.,0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,,,,
3119a5d1-b9d7-4abe-8605-08ca3a5595ae,Response,A gender identity that can only be conveyed through slam poetry.,0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,,
c79b18a1-dc31-4f4b-a547-a1eaf898b905,Response,A giant powdery manbaby.,0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
c305a6fb-843c-4bdd-87a7-525bbbcda062,Response,A global cabal of pedophile billionaires.,0,0,,,,,63789969-a5ae-49dc-a690-422651063710
ee04ddd1-3e41-4a68-be1b-56d301aec8d5,Response,A hopeless amount of spiders.,0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
d1bfd664-3eab-4337-9aaf-4505ba59b820,Response,A horse with no legs.,0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
01064159-b632-4b80-af46-d5163ae430d4,Response,A kiss on the lips.,0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
9161e13f-e6b1-4e67-be2c-e7eb66b7354c,Response,A lil’ stupid ass bitch.,0,0,,,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
f75bea72-705f-4cde-b733-1f60c2d1dd11,Response,A man who is so cool that he rides on a motorcycle.,0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
71873c9c-91ff-42c6-9b19-7efb60967e12,Response,A manhole.,0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
16d5a8e2-fbd5-4592-90d7-0e67377bc7e7,Response,A mouthful of potato salad.,0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
3a413083-1042-4693-82a1-700bee458914,Response,A Native American who solves crimes by going into the spirit world.,0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,,,,
728f3770-3f7c-45c2-ad38-86a376b995eb,Response,"A one-way ticket to Gary, Indiana.",0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,,
8327a815-4a3e-4bc8-a615-33505c5fc9f3,Response,A peyote-fueled vision quest.,0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
7d774c6b-510a-49f6-80fa-8cb07497de9b,Response,A pizza guy who fucked up.,0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
0a79a978-d7b0-474a-8d6e-9d356cf4a5de,Response,A possible Muslim.,0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,
3e387f56-a86f-4fae-93f3-6485cfeea6ec,Response,A reason not to commit suicide.,0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
5f9b16da-1d2a-4103-b2c0-daac6121be42,Response,A self-microwaving burrito.,0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
4e7dea80-db8e-462c-aa02-ac0dd57daa7b,Response,A sex comet from Neptune that plunges the Earth into eternal sexiness.,0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,
26f34932-87ab-4dd6-8929-de89763d80e4,Response,A sex goblin with a carnival penis.,0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
76110aeb-6ddc-4e96-a5b6-8837eb82b35b,Response,A shiny rock that proves I love you.,0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,
b4647906-0071-477b-b3dd-a5b7e01e9f07,Response,A team of lawyers.,0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
bf277ab3-0f4b-4235-a8fe-81c9f0c6d3e6,Response,A thrilling chase over the rooftops of Rio de Janeiro.,0,0,,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,
dc717c80-d62e-4e9e-aaba-fe1e0cf75062,Response,A turd.,0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
966c0184-238e-44d1-9be4-3dd3fc62bbe5,Response,A Ugandan warlord.,0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
90835e18-6bad-46aa-b3db-f5ae45a8b132,Response,A whole lotta woman.,0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
e766c5bd-8189-4aa4-a829-eeb1d0292c3c,Response,A whole new kind of porn.,0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
6f558040-550b-4df0-9168-59f21ff36681,Response,A woman who is much stronger than me.,0,0,,,,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
7675f342-9fd4-4a63-9c5d-8512c4f35f84,Response,A woman.,0,0,,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
408b814c-c84d-454c-99ad-5d4c110d08d3,Response,"A zero-risk way to make $2,000 from home.",0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
ae848129-5c7a-4cb8-b8e1-5d8b9eb0be3d,Response,Acknowledging that we stand on the unceded lands of Indigeenous peoples.,0,0,,,,,63789969-a5ae-49dc-a690-422651063710
468c687b-bda5-45ac-9001-e8ebe3e2ece9,Response,Actual mutants with medical conditions and no superpowers.,0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,,
815be0a8-8085-4536-aade-08eaa48edad3,Response,Africa.,0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
bf3aa7d7-b591-4be8-903c-f7a8e7677a9f,Response,AIDS monkeys.,0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,,,
6eb8024f-41ca-4575-9d1b-335734a681b7,Response,All the single ladies.,0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
6230671e-08f6-47ca-a4ad-c01d0b433b60,Response,All these decorative pillows.,0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
0b05354a-ffae-46f7-ad22-45d0363027ae,Response,Almost giving money to a homeless person.,0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
7658d960-e2c7-4859-bd15-21f727e7163d,Response,Ambiguous sarcasm.,0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
10432f83-3ce6-4080-9085-446f9feaae69,Response,An inability to form meaningful relationships.,0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
b1db734b-3fbc-4e4a-b829-b5a2b5cd2632,Response,An interracial handshake.,0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,
0498d2b1-4b85-49a2-b086-d1478ce8bdcf,Response,An oppressed people with a vibrant culture.,0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
d88d16c2-72a2-4d63-9eb9-1ae3c39c2cab,Response,An overwhelming variety of cheeses.,0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
4f74ca83-5dcb-41cb-ac2c-ac7b26c9fa5d,Response,An unforgettable quinceañera.,0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
a9d5b550-f0fc-4e99-b20b-e5d27d5b97ac,Response,An uninterrupted history of imperialism and exploitation.,0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
caf61fe6-33d8-4091-8cb6-cd0364cc7df9,Response,Anal fissures like you wouldn't believe.,0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
b8211f60-3d3c-47c5-9800-5714f89aeae4,Response,Ancient Athenian boy-fucking.,0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
25ecc997-9e25-4d9b-a534-b951681034a4,Response,Angelheaded hipsters burning for the ancient heavenly connection to the starry dynamo in the machinery of night.,0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
983a59fc-4f66-4a29-bf9c-13935c3b2228,Response,Ass to mouth.,0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
2613099f-8382-461f-ae37-f5bfd68266d2,Response,Backwards knees.,0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
001a1e51-75cc-41d2-9e1f-f5e200504811,Response,Bad shrimp for poor people.,0,0,,,,,63789969-a5ae-49dc-a690-422651063710
13140946-2803-48db-a98e-d10cc0c06965,Response,Bathing in moonsblood and dancing around the ancient oak.,0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
b3d1bb33-2e3d-4236-b285-14cadc6c66d4,Response,Being a terrible mother.,0,0,5af68d79-d4da-434d-a68c-0c22437fee6b,cc6795b7-da58-4a6a-90ce-9c7d1a558e58,defba22f-460d-423c-9cff-55a28a5b9e9d,d3f6fedf-4fac-45d8-a19e-15b03b7a5bb9,63789969-a5ae-49dc-a690-422651063710
